Unique ID ,Last Name,First Name,Full Candidate Name,Party
,Isner,Tabitha Kay,Tabitha Kay Isner,Democrat
,Roby,Martha,Martha Roby-Incumbent,Democrat
,Williams,Audri Scott,Audri Scott Williams,Democrat
,Sewell,Terri,Terri Sewell-Incumbent,Democrat
,Ward,Kelli,Kelli Ward,Republican
,Abboud,Deedra,Deedra Aboud,Democrat
,Sinema,Kyrsten,Kyrsten Sinema,Democrat
,Shedd,Tiffany,Tiffany Shedd,Republican
,Matiella,Maria Mary,Maria Mary Matiella,Democrat
,Sherry,Barbara,Barbara Louise Sherry,Democrat
,McSally,Martha,Martha McSally-Incumbent,Republican
,Kirkpatrick,Ann,Ann Kirkpatrick,Democrat
,Malik,Anita,Anita Malik,Democrat
,Ross,Healther Maura,Heather Maura Ross,Democrat
,Westbrook,Brianna,Brianna Westbrook,Democrat
,Tipirneni,Hiral Vyas,Hiral Vyas Tipirneni,Democrat
,McHale,Judith Keenan,Judith Keenan McHale,Democrat
,Fuentes,Talia,Talia Fuentes,Democrat
,von Behr,Irina,Irina Von Behr,Republican
,Burch,Natashia,Natashia Burch,Independent
,Coombs,Gwendolynn Millin,Gwen Combs,Democrat
H8CA01257,Denney,Audrey,Audrey L. Denney,Democrat
S8CA00440,Cruz,Erin,Erin Cruz,Republican
S8CA00457,Shi ,Ling Ling,Ling Ling Shi,Not Listed
S8CA00432,Saavedra,Jazmina,Jazmina Saavedra,Republican
S8CA00416,Hartson,Alison,Alison Hartson,Democrat
S8CA00333,Lancona,Caren,Caren Dianna Lancona,Republican
S0CA00199,Feinstein,Dianne,Dianne Feinstein-Incumbent,Democrat
H8CA01190,Holcombe,Jessica Jones,Jessica Jones Holcombe,Democrat
H8CA01208,Walters,Martha,Martha (Marty) Walters,Democrat
H8CA04194,Bateson,Regina,Regina Bateson,Democrat
H8CA04210,Morse,Jessica,Jessica Morse,Democrat
,Wilcox,Rochelle Lyn,Rochelle Lyn Wilcox,Democrat
,Calderon,Roza,Roza Calderon,Democrat
,Matsui,Doris,Doris Matsui-Incumbent,Democrat
,Doyle,Marge,Marge Doyle,Democrat
,Livengood,Marla,Marla Livengood,
,Nygard,Dotty,Dorothy (Dotty) Nygard,Democrat
,Snover,Terra,Terra Eva Snover,Independent
,Madueno,Virginia,Virginia Madueno,Democrat
,Zwahlen,Sue,Sue Zwahlen,Democrat
,Pelosi,Nancy,Nancy Pelosi-Incumbent,Democrat
,Lee,Barbara,Barbara Lee-Incumbent,Democrat
,Speier,Jackie,Jackie Speier-Incumbent,Democrat
,Eshoo,Anna,Anna Eshoo-Incumbent,Democrat
,Lofgren,Zoe,Zoe Lofgren-Incumbent,Democrat
,Reed,Wendy,Wendy Reed,Democrat
,Matta,Tatiana,Tatiana Matta,Democrat
,Phoenix,Jess,Jess Phoenix,Democrat
,Hill,Katherine,Katherine L. Hill,Democrat
,Greenaway,Diedra Michelle,Diedra Michelle Greenaway,Democrat
,Brownley,Julia,Julia Brownley-Incumbent,Democrat
,Chu,Judy,Judy Chu-Incumbent,Democrat
,Napolitano,Grace,Grace Napolitano -Incumbent,Democrat
,Lutz,Mary Ann,Mary Ann Lutz,Democrat
,Walker,Michelle,"Michelle ""Hope"" Walker",Democrat
,Torres,Norma,Norma Torres-Incumbent,Democrat
,Pelzer,Kimberlin Brown,Kimberlin Brown Pelzer,Republican
,Bass,Karen,Karen Bass-Incumbent,Democrat
,Sanchez,Linda,Linda Sanchez-Incumbent,Democrat
,Tran,Mai-Khanh,Mai-Khahn Tran,Democrat
,Young  ,Kim,Kim Young,Republican
,Steed,Cybil Camille,Cybil Camille Steed,Democrat
,Leggett,Suzi Park,Suzi Park Leggett,Democrat
,Roybal-Allard,Lucille,Lucille Roybal-Allard-Incumbent,Democrat
,Peacock,Julia,Julia Peacock,Democrat
,Waters,Maxine,Maxine Waters-Incumbent,Democrat
,Camper,Candace,Candace Camper,Republican
,Barragan,Nanette,Nanette Barragan-Incumbent,Democrat
,Porter,Katherine,Katherine Porter,Democrat
,Walters,Mimi,Mimi Walters-Incumbent,Republican
,Schaarsmith,Deanie Ann,Deanie Ann Schaarsmith,Democrat
,Prejean,Christina,Christina Prejean,Democrat
,Gaspar,Kristin,Kristin Gaspar,Republican
,Harkey,Diane,Diane Harkey,Republican
,Jacobs ,Sara,Sara Jacobs,
,Chadwick,Gloria,Gloria Chadwick,Democrat
,Davis,Susan,Susan Davis-Incumbent,Democrat
,DeGette,Diana,Diana DeGette -Incumbent,Democrat
,Mitsch Bush,Diane,Diane Mitsch Bush,Democrat
,McCormick,Karen,Karen A. McCormick,Democrat
,Field,Betty,Betty Ann Field,Democrat
,Spaulding,Stephany,Stephany Rose Spaulding,Democrat
,Petterson,Brittany,Brittany Louise Petterson,Democrat
