First Name,Last Name,State
Tabitha Kay,Isner,AL
Martha,Roby,AL
Audri Scott,Williams,AL
Terri,Sewell,AL
Kelli,Ward,AZ
Deedra,Abboud,AZ
Kyrsten,Sinema,AZ
Tiffany,Shedd,AZ
Maria Mary,Matiella,AZ
Barbara,Sherry,AZ
Martha,McSally,AZ
Ann,Kirkpatrick,AZ
Anita,Malik,AZ
Healther Maura,Ross,AZ
Brianna,Westbrook,AZ
Hiral Vyas,Tipirneni,AZ
Judith Keenan,McHale,AZ
Talia,Fuentes,AZ
Irina,von Behr,AZ
Natashia,Burch,AR
Gwendolynn Millin,Coombs,AR
Audrey,Denney,CA
Erin,Cruz,CA
Ling Ling,Shi ,CA
Jazmina,Saavedra,CA
Alison,Hartson,CA
Caren,Lancona,CA
Dianne,Feinstein,CA
Jessica Jones,Holcombe,CA
Martha,Walters,CA
Regina,Bateson,CA
Jessica,Morse,CA
Rochelle Lyn,Wilcox,CA
Roza,Calderon,CA
Doris,Matsui,CA
Marge,Doyle,CA
Marla,Livengood,CA
Dotty,Nygard,CA
Terra,Snover,CA
Virginia,Madueno,CA
Sue,Zwahlen,CA
Nancy,Pelosi,CA
Barbara,Lee,CA
Jackie,Speier,CA
Anna,Eshoo,CA
Zoe,Lofgren,CA
Wendy,Reed,CA
Tatiana,Matta,CA
Jess,Phoenix,CA
Katherine,Hill,CA
Diedra Michelle,Greenaway,CA
Julia,Brownley,CA
Judy,Chu,CA
Grace,Napolitano,CA
Mary Ann,Lutz,CA
Michelle,Walker,CA
Norma,Torres,CA
Kimberlin Brown,Pelzer,CA
Karen,Bass,CA
Linda,Sanchez,CA
Mai-Khanh,Tran,CA
Kim,Young  ,CA
Cybil Camille,Steed,CA
Suzi Park,Leggett,CA
Lucille,Roybal-Allard,CA
Julia,Peacock,CA
Maxine,Waters,CA
Candace,Camper,CA
Nanette,Barragan,CA
Katherine,Porter,CA
Mimi,Walters,CA
Deanie Ann,Schaarsmith,CA
Christina,Prejean,CA
Kristin,Gaspar,CA
Diane,Harkey,CA
Sara,Jacobs ,CA
Gloria,Chadwick,CA
Susan,Davis,CA
Diana,DeGette,CO
Diane,Mitsch Bush,CO
Karen,McCormick,CO
Betty,Field,CO
Stephany,Spaulding,CO
Brittany,Petterson,CO
Ann-Marie,Adams,CT
Rosa,DeLauro,CT
Elizabeth,Esty,CT
Elizabeth,Esty,CT
Lisa,Blunt Rochester,DE
Eleanor Holmes,Norton,DC
Leteresa Ann,Jones,FL
Marcia Roberta,Thorne,FL
Tamika,Lyles,FL
Mary,Thomas,FL
Yvonne Hayes,Hinson,FL
Pam,Love,FL
Nancy,Soderberg,FL
Stephanie,Murphy,FL
Dena,Grayson,FL
