state_id,district,race_type,filing_date,other
1,1,House,,
1,2,House,,
1,3,House,,
1,4,House,,
1,5,House,,
1,6,House,,
1,7,House,,
2,1,House,,
2,2,House,,
2,3,House,,
2,4,House,,
2,5,House,,
2,6,House,,
2,7,House,,
3,1,House,,
3,2,House,,
3,3,House,,
3,4,House,,
4,1,House,,
4,2,House,,
4,3,House,,
4,4,House,,
4,5,House,,
4,6,House,,
4,7,House,,
4,8,House,,
4,9,House,,
4,10,House,,
4,11,House,,
4,12,House,,
4,13,House,,
4,14,House,,
4,15,House,,
4,16,House,,
4,17,House,,
4,18,House,,
4,19,House,,
4,20,House,,
4,21,House,,
4,22,House,,
4,23,House,,
4,24,House,,
4,25,House,,
4,26,House,,
4,27,House,,
4,28,House,,
4,29,House,,
4,30,House,,
4,31,House,,
4,32,House,,
4,33,House,,
4,34,House,,
4,35,House,,
4,36,House,,
4,37,House,,
4,38,House,,
4,39,House,,
4,40,House,,
4,41,House,,
4,42,House,,
4,43,House,,
4,44,House,,
4,45,House,,
4,46,House,,
4,47,House,,
4,48,House,,
4,49,House,,
4,50,House,,
4,51,House,,
4,52,House,,
4,53,House,,
5,1,House,,
5,3,House,,
5,4,House,,
5,5,House,,
5,6,House,,
5,7,House,,
6,1,House,,
6,2,House,,
6,3,House,,
6,4,House,,
6,5,House,,
9,1,House,,
9,2,House,,
9,3,House,,
9,4,House,,
9,5,House,,
9,6,House,,
9,7,House,,
9,8,House,,
9,9,House,,
9,10,House,,
9,11,House,,
9,12,House,,
9,13,House,,
9,14,House,,
9,15,House,,
9,16,House,,
9,17,House,,
9,18,House,,
9,19,House,,
9,20,House,,
9,21,House,,
9,22,House,,
9,23,House,,
9,24,House,,
9,25,House,,
9,26,House,,
10,1,House,,
10,2,House,,
10,3,House,,
10,4,House,,
10,5,House,,
10,6,House,,
10,7,House,,
10,8,House,,
10,9,House,,
10,10,House,,
10,11,House,,
10,12,House,,
10,13,House,,
10,14,House,,
11,2,House,,
12,1,House,,
12,2,House,,
12,3,House,,
12,5,House,,
12,6,House,,
12,7,House,,
12,8,House,,
12,9,House,,
12,10,House,,
12,11,House,,
12,12,House,,
12,13,House,,
12,14,House,,
12,15,House,,
12,16,House,,
12,17,House,,
12,18,House,,
13,1,House,,
2,,Senate,,
4,,Senate,,
5,2,House,,
6,,Senate,,
7,,Senate,,
7,,House,,At-Large
8,,Senate,,
9,27,House,,
9,,Senate,,
11,1,House,,
12,4,House,,
13,,Senate,,
16,,House,,At-Large
13,2,House,,
