State,DISTRICT
AL,1
AL,2
AL,2
AL,2
AL,3
AL,4
AL,5
AL,6
AL,7
AK,at-large
AZ,OPEN-RACE
AZ,OPEN-RACE
AZ,OPEN-RACE
AZ,OPEN-RACE
AZ,1
AZ,2
AZ,2
AZ,2
AZ,2
AZ,2
AZ,3
AZ,4
AZ,5
AZ,6
AZ,6
AZ,7
AZ,8 SPECIAL-ELECTION
AZ,8 SPECIAL-ELECTION
AZ,8 SPECIAL-ELECTION
AZ,8 SPECIAL-ELECTION
AZ,8 SPECIAL-ELECTION
AZ,8 SPECIAL-ELECTION
AR,1
AR,2
AR,2
AR,3
AR,4
CA,
CA,
CA,
CA,
CA,
CA,
CA,
CA,
CA,1
CA,1
CA,2
CA,3
CA,4
CA,4
CA,4
CA,4
CA,5
CA,6
CA,7
CA,8
CA,9
CA,10
CA,10
CA,10
CA,10
CA,11
CA,12
CA,13
CA,14
CA,15
CA,16
CA,17
CA,18
CA,19
CA,20
CA,21
CA,22
CA,23
CA,23
CA,24
CA,25
CA,25
CA,25
CA,26
CA,27
CA,28
CA,29
CA,30
CA,31
CA,32
CA,32
CA,33
CA,34
CA,35
CA,36
CA,37
CA,38
CA,39
CA,39
CA,39
CA,39
CA,40
CA,41
CA,42
CA,43
CA,43
CA,44
CA,45
CA,45
CA,46
CA,47
CA,48
CA,48
CA,49
CA,49
CA,49
CA,49
CA,50
CA,51
CA,52
CA,53
CO,1
CO,1
CO,2 OPEN-RACE
CO,3
CO,4
CO,5
CO,5
CO,6
CO,7
CT,
CT,1
CT,2
CT,3
CT,4
CT,5
DE,
DE,at-large
DC,
DC,
FL,
FL,
FL,
FL,1
FL,2
FL,3
FL,4
FL,5
FL,6
FL,7
FL,8
FL,9
FL,10
FL,11
FL,12
FL,13
FL,14
FL,14
FL,15
FL,16
FL,17
FL,18
FL,18
FL,19
FL,20
FL,21
FL,22
FL,23
FL,23
FL,24
FL,25
FL,26
FL,27 OPEN-RACE
FL,27 OPEN-RACE
FL,27 OPEN-RACE
FL,27 OPEN-RACE
FL,27 OPEN-RACE
FL,27 OPEN-RACE
GA,1
GA,1
GA,2
GA,3
GA,4
GA,5
GA,6
GA,7
GA,7
GA,7
GA,8
GA,9
GA,10
GA,10
GA,11
GA,12
GA,13
GA,14
HI,
HI,
HI, 1 OPEN- RACE
HI,2
HI,2
ID,1  OPEN-RACE
ID,2
IL,1
IL,2
IL,3
IL,4 OPEN-RACE
IL,5
IL,6
IL,6
IL,6
IL,6
IL,6
IL,7
IL,8
IL,9
IL,9
IL,10
IL,11
IL,12
IL,13
IL,14
IL,15
IL,16
IL,16
IL,16
IL,17
IL,18
IN,
IN,1
IN,2
IN,2
IN,3
IN,4 OPEN RACE
IN,4 OPEN RACE
IN,5
IN,5
IN,6 OPEN-RACE
IN,7
IN,8
IN,9
IA,1
IA,1
IA,2
IA,3
IA,3
IA,3
IA,4
IA,4
KS,1
KS,2 OPEN-RACE
KS,3
KY,1
KY,2
KY,3
KY,4
KY,5
KY,6
LA,1
LA,2
LA,3
LA,4
LA,5
LA,6
ME,
ME,1
ME,2
ME,2
MD,
MD,1
MD,2
MD,3
MD,4
MD,5
MD,6 - OPEN RACE
MD,6 - OPEN RACE
MD,6 - OPEN RACE
MD,7
MD,8
MA,
MA,
MA,
MA,1
MA,2
MA,3 - OPEN RACE
MA,3 - OPEN RACE
MA,3 - OPEN RACE
MA,3 - OPEN RACE
MA,4
MA,5
MA,6
MA,7
MA,8
MA,9
MI,
MI,
MI,1
MI,2
MI,3
MI,4
MI,5
MI,6
MI,7
MI,8
MI,8
MI,9 - OPEN RACE
MI,10
MI,11 - OPEN RACE
MI,11 - OPEN RACE
MI,11 - OPEN RACE
MI,12
MI,13 - OPEN RACE
MI,14
MN,Senate 1
MN,Senate 2 - OPEN RACE
MN,1 - OPEN RACE
MN,1 - OPEN RACE
MN,2
MN,3
MN,4
MN,6
MN,7
MN,8
MS,
MS,1
MS,2
MS,3
MS,4
MO,
MO,
MO,1
MO,1
MO,2
MO,2
MO,3
MO,4
MO,4
MO,4
MO,5
MO,6
MO,7
MO,8
MT,
MT,at-large
NE,
NE,
NE,1
NE,2
NE,3
NV,
NV,
NV,1
NV,2
NV,3 OPEN- RACE
