state,seal,bio
AL,usa_alabama.svg,
AZ,usa_arizona.svg,
AR,usa_arkansas.svg,
CA,usa_california.svg,
CO,usa_colorado.svg,
CT,usa_connecticut.svg,
DE,usa_delaware.svg,
DC,usa_district_of_columbia.svg,
FL,usa_florida.svg,
GA,usa_georgia.svg,
ID,usa_idaho.svg,
IL,usa_illinois.svg,
IN,usa_indiana.svg,
AK,usa_alaska.svg,
IA,usa_iowa.svg,
KS,usa_kansas.svg,
KY,usa_kentucky.svg,
LA,usa_louisiana.svg,
ME,usa_maine.svg,
MD,usa_maryland.svg,
MA,usa_massachusetts.svg,
MI,usa_michigan.svg,
MN,usa_minnesota.svg,
MS,usa_mississippi.svg,
MO,usa_missouri.svg,
MT,usa_montana.svg,
NE,usa_nebraska.svg,
NV,usa_nevada.svg,
NH,usa_newhampshire.svg,
NJ,usa_newjersey.svg,
NM,usa_newmexico.svg,
NY,usa_newyork.svg,
NC,usa_northcarolina.svg,
ND,usa_northdakota.svg,
OH,usa_ohio.svg,
OK,usa_oklahoma.svg,
OR,usa_oregon.svg,
PA,usa_pennsylvania.svg,
SC,usa_southcarolina.svg,
SD,usa_southdakota.svg,
TN,usa_tennessee.svg,
TX,usa_texas.svg,
UT,usa_utah.svg,
VT,usa_vermont.svg,
VA,usa_virginia.svg,
WA,usa_washington.svg,
WV,usa_westvirginia.svg,
WI,usa_wisconsin.svg,
WY,usa_wyoming.svg,
RI,usa_rhode_island.svg,
HI,usa_hawaii.svg,
